Title,Artist,Streams,Release Year,Genre
Blinding Lights,The Weeknd,3800,2019,Synth-pop
Shape of You,Ed Sheeran,3700,2017,Pop
Dance Monkey,Tones and I,2900,2019,Electropop
Someone You Loved,Lewis Capaldi,2800,2018,Pop
Sunflower,Post Malone & Swae Lee,2700,2018,Hip-Hop
One Dance,Drake,2600,2016,R&B
Stay,The Kid LAROI & Bieber,2500,2021,Pop
Believer,Imagine Dragons,2400,2017,Rock
Heat Waves,Glass Animals,2300,2020,Indie Pop
Perfect,Ed Sheeran,2200,2017,Pop
Levitating,Dua Lipa,2100,2020,Disco-pop
Bad Guy,Billie Eilish,2000,2019,Electropop
Señorita,Shawn Mendes & Camila,1900,2019,Pop
Shivers,Ed Sheeran,1800,2021,Pop
Watermelon Sugar,Harry Styles,1700,2019,Pop Rock
Industry Baby,Lil Nas X & Jack Harlow,1600,2021,Hip-Hop
Circles,Post Malone,1500,2019,Pop
As It Was,Harry Styles,1450,2022,Synth-pop
Peaches,Justin Bieber,1400,2021,R&B
Lovely,Billie Eilish & Khalid,1350,2018,Pop
Goosebumps,Travis Scott,1300,2016,Hip-Hop
Rockstar,Post Malone,1250,2017,Hip-Hop
Bad Habits,Ed Sheeran,1200,2021,Pop
Drivers License,Olivia Rodrigo,1150,2021,Pop
Don't Start Now,Dua Lipa,1100,2019,Disco-pop
Watermelon Sugar,Harry Styles,1700,2019,Pop Rock
Industry Baby,Lil Nas X & Jack Harlow,1600,2021,Hip-Hop
Circles,Post Malone,1500,2019,Pop
As It Was,Harry Styles,1450,2022,Synth-pop
Peaches,Justin Bieber,1400,2021,R&B
Lovely,Billie Eilish & Khalid,1350,2018,Pop
Goosebumps,Travis Scott,1300,2016,Hip-Hop
Rockstar,Post Malone,1250,2017,Hip-Hop
Bad Habits,Ed Sheeran,1200,2021,Pop
Drivers License,Olivia Rodrigo,1150,2021,Pop
Don't Start Now,Dua Lipa,1100,2019,Disco-pop
